Latitude (decimal degrees):	22.214
Longitude (decimal degrees):	77.492
Elevation (m):	532
Radiation database:	PVGIS-SARAH


Slope: 26 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20131231:2348,0.0,0.0,0.0,0.0,0.0,17.59,1.75,0.0
20140101:0048,0.0,0.0,0.0,0.0,0.0,17.76,1.73,0.0
20140101:0148,4880.0,0.0,15.59,0.17,2.98,17.93,1.71,0.0
20140101:0248,279150.0,235.55,116.56,2.18,15.05,18.09,1.68,0.0
20140101:0348,476790.0,435.49,166.53,4.21,26.07,20.03,1.16,0.0
20140101:0448,613790.0,624.14,181.87,5.94,35.4,21.96,0.64,0.0
20140101:0548,682400.0,749.53,186.27,7.11,42.03,23.89,0.12,0.0
20140101:0648,514350.0,317.77,361.35,5.85,44.76,24.48,0.41,0.0
20140101:0748,243710.0,25.44,293.3,3.3,42.89,25.08,0.69,0.0
20140101:0848,587550.0,570.92,207.73,6.02,36.92,25.67,0.98,0.0
20140101:0948,450070.0,394.52,185.26,4.39,28.02,24.9,1.4,0.0
20140101:1048,268630.0,220.21,128.83,2.47,17.26,24.12,1.83,0.0
20140101:1148,14700.0,0.0,31.17,0.34,5.36,23.34,2.25,0.0
20140101:1248,0.0,0.0,0.0,0.0,0.0,21.79,2.42,0.0
20140101:1348,0.0,0.0,0.0,0.0,0.0,20.24,2.59,0.0
20140101:1448,0.0,0.0,0.0,0.0,0.0,18.68,2.76,0.0
20140101:1548,0.0,0.0,0.0,0.0,0.0,18.21,2.77,0.0
20140101:1648,0.0,0.0,0.0,0.0,0.0,17.74,2.78,0.0
20140101:1748,0.0,0.0,0.0,0.0,0.0,17.27,2.79,0.0
20140101:1848,0.0,0.0,0.0,0.0,0.0,17.0,2.68,0.0
20140101:1948,0.0,0.0,0.0,0.0,0.0,16.73,2.57,0.0
20140101:2048,0.0,0.0,0.0,0.0,0.0,16.46,2.47,0.0
20140101:2148,0.0,0.0,0.0,0.0,0.0,16.32,2.21,0.0
20140101:2248,0.0,0.0,0.0,0.0,0.0,16.17,1.94,0.0
20140101:2348,0.0,0.0,0.0,0.0,0.0,16.02,1.68,0.0
20140102:0048,0.0,0.0,0.0,0.0,0.0,16.53,1.85,0.0
20140102:0148,3850.0,0.0,13.75,0.15,2.93,17.04,2.01,0.0
20140102:0248,110100.0,35.8,112.26,1.33,15.01,17.55,2.18,0.0
20140102:0348,294170.0,143.52,223.95,3.1,26.05,19.36,1.74,0.0
