Latitude (decimal degrees):	28.669
Longitude (decimal degrees):	77.414
Elevation (m):	202
Radiation database:	PVGIS-SARAH


Slope: 30 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20131231:2350,0.0,0.0,0.0,0.0,0.0,12.02,2.54,0.0
20140101:0050,0.0,0.0,0.0,0.0,0.0,12.16,2.71,0.0
20140101:0150,0.0,0.0,0.0,0.0,0.31,12.29,2.89,0.0
20140101:0250,205.21,154.82,101.6,2.06,11.64,12.43,3.06,0.0
20140101:0350,381.45,272.12,183.59,4.26,21.82,13.35,3.26,0.0
20140101:0450,575.98,476.77,216.56,6.53,30.23,14.26,3.45,0.0
20140101:0550,673.71,579.57,242.22,7.9,36.02,15.18,3.64,0.0
20140101:0650,656.65,516.31,286.58,7.98,38.31,15.87,3.68,0.0
20140101:0750,427.46,199.4,317.5,5.96,36.63,16.56,3.71,0.0
20140101:0850,522.16,377.55,256.72,6.23,31.34,17.25,3.75,0.0
20140101:0950,410.67,302.15,194.46,4.56,23.28,16.38,3.29,0.0
20140101:1050,237.8,178.31,117.02,2.38,13.33,15.5,2.82,0.0
20140101:1150,0.0,0.0,0.0,0.0,2.15,14.63,2.36,0.0
20140101:1250,0.0,0.0,0.0,0.0,0.0,13.65,2.79,0.0
20140101:1350,0.0,0.0,0.0,0.0,0.0,12.67,3.22,0.0
20140101:1450,0.0,0.0,0.0,0.0,0.0,11.69,3.66,0.0
20140101:1550,0.0,0.0,0.0,0.0,0.0,11.13,3.67,0.0
20140101:1650,0.0,0.0,0.0,0.0,0.0,10.57,3.69,0.0
20140101:1750,0.0,0.0,0.0,0.0,0.0,10.01,3.71,0.0
20140101:1850,0.0,0.0,0.0,0.0,0.0,9.53,3.57,0.0
20140101:1950,0.0,0.0,0.0,0.0,0.0,9.06,3.43,0.0
20140101:2050,0.0,0.0,0.0,0.0,0.0,8.58,3.3,0.0
20140101:2150,0.0,0.0,0.0,0.0,0.0,8.13,3.45,0.0
20140101:2250,0.0,0.0,0.0,0.0,0.0,7.68,3.61,0.0
20140101:2350,0.0,0.0,0.0,0.0,0.0,7.23,3.77,0.0
20140102:0050,0.0,0.0,0.0,0.0,0.0,7.31,3.81,0.0
20140102:0150,0.0,0.0,0.0,0.0,0.27,7.4,3.85,0.0
20140102:0250,209.29,154.71,100.36,2.05,11.61,7.48,3.89,0.0
20140102:0350,422.51,319.66,174.31,4.47,21.81,9.64,3.94,0.0
20140102:0450,625.51,554.52,188.51,6.83,30.25,11.8,4.0,0.0
20140102:0550,724.25,674.08,204.65,8.27,36.07,13.96,4.06,0.0
20140102:0650,754.67,708.99,215.4,8.76,38.39,15.02,4.08,0.0
20140102:0750,711.41,642.88,228.57,8.24,36.74,16.07,4.11,0.0
20140102:0850,610.56,525.62,217.92,6.89,31.46,17.13,4.14,0.0
20140102:0950,472.07,392.99,176.06,4.96,23.41,15.78,3.52,0.0
20140102:1050,244.18,183.68,117.52,2.42,13.47,14.42,2.91,0.0
20140102:1150,0.0,0.0,0.0,0.0,2.28,13.07,2.29,0.0
20140102:1250,0.0,0.0,0.0,0.0,0.0,11.94,2.52,0.0
20140102:1350,0.0,0.0,0.0,0.0,0.0,10.8,2.76,0.0
20140102:1450,0.0,0.0,0.0,0.0,0.0,9.67,2.99,0.0
20140102:1550,0.0,0.0,0.0,0.0,0.0,9.04,2.95,0.0
20140102:1650,0.0,0.0,0.0,0.0,0.0,8.41,2.91,0.0
20140102:1750,0.0,0.0,0.0,0.0,0.0,7.78,2.87,0.0
20140102:1850,0.0,0.0,0.0,0.0,0.0,7.44,2.89,0.0
20140102:1950,0.0,0.0,0.0,0.0,0.0,7.1,2.91,0.0
20140102:2050,0.0,0.0,0.0,0.0,0.0,6.75,2.94,0.0
20140102:2150,0.0,0.0,0.0,0.0,0.0,6.43,2.89,0.0
20140102:2250,0.0,0.0,0.0,0.0,0.0,6.11,2.84,0.0
20140102:2350,0.0,0.0,0.0,0.0,0.0,5.79,2.79,0.0
20140103:0050,0.0,0.0,0.0,0.0,0.0,6.41,3.03,0.0
20140103:0150,0.0,0.0,0.0,0.0,0.23,7.04,3.27,0.0
20140103:0250,226.21,176.3,98.81,2.13,11.59,7.66,3.52,0.0
20140103:0350,453.67,372.14,160.44,4.67,21.81,10.04,3.59,0.0
20140103:0450,622.58,555.34,188.46,6.85,30.27,12.41,3.66,0.0
20140103:0550,734.5,712.41,186.46,8.4,36.13,14.79,3.74,0.0
20140103:0650,749.85,710.96,215.32,8.79,38.48,15.77,3.63,0.0
20140103:0750,705.56,644.85,227.19,8.25,36.86,16.74,3.53,0.0
20140103:0850,622.55,559.26,206.85,7.04,31.59,17.72,3.42,0.0
20140103:0950,472.73,395.21,175.91,4.99,23.55,15.9,3.28,0.0
20140103:1050,270.65,216.86,114.66,2.56,13.6,14.08,3.14,0.0
20140103:1150,14.07,20.39,11.19,0.19,2.42,12.26,2.99,0.0
20140103:1250,0.0,0.0,0.0,0.0,0.0,11.39,2.93,0.0
20140103:1350,0.0,0.0,0.0,0.0,0.0,10.52,2.86,0.0
20140103:1450,0.0,0.0,0.0,0.0,0.0,9.65,2.8,0.0
20140103:1550,0.0,0.0,0.0,0.0,0.0,8.68,2.66,0.0
20140103:1650,0.0,0.0,0.0,0.0,0.0,7.71,2.52,0.0
20140103:1750,0.0,0.0,0.0,0.0,0.0,6.74,2.39,0.0
20140103:1850,0.0,0.0,0.0,0.0,0.0,6.4,2.43,0.0
20140103:1950,0.0,0.0,0.0,0.0,0.0,6.06,2.47,0.0
20140103:2050,0.0,0.0,0.0,0.0,0.0,5.72,2.51,0.0
